Event,Team 1,Team 2,Date,Match Format,Maps Picked/Banned,Score per Map,Match Durations,Score per Half,Sides Chosen by Non-Picker,Match URL
Valorant Champions 2023,Team Liquid,LOUD,2023-08-10 15:00:00,Bo3,LOUD ban Fracture; TL ban Pearl; LOUD pick Haven; TL pick Split; LOUD ban Ascent; TL ban Bind; Lotus remains,Haven: 2-13; Split: 8-13,54:59; 1:01:40,"Team 1: 2 / 0, Team 2: 10 / 3; Team 1: 2 / 6, Team 2: 7 / 6",Team 1: Attack; Team 2: Attack,https://www.vlr.gg/247103/team-liquid-vs-loud-valorant-champions-2023-group-stage-elim-d
Valorant Champions 2023,FunPlus Phoenix,T1,2023-08-10 17:25:00,Bo3,FPX ban Fracture; T1 ban Split; FPX pick Lotus; T1 pick Bind; FPX ban Pearl; T1 ban Haven; Ascent remains,Lotus: 10-13; Bind: 7-13,1:03:03; 49:05,"Team 1: 7 / 3, Team 2: 5 / 8; Team 1: 4 / 3, Team 2: 4 / 9",Team 2: Defense; Team 1: Defense,https://www.vlr.gg/247089/funplus-phoenix-vs-t1-valorant-champions-2023-group-stage-elim-b
Valorant Champions 2023,Paper Rex,EDward Gaming,2023-08-10 19:45:00,Bo3,EDG ban Lotus; PRX ban Haven; EDG pick Fracture; PRX pick Pearl; EDG ban Split; PRX ban Ascent; Bind remains,Fracture: 13-7; Pearl: 16-14,48:45; 1:04:11,"Team 1: 8 / 5, Team 2: 4 / 3; Team 1: 7 / 5 / 4, Team 2: 5 / 7 / 2",Team 1: Attack; Team 2: Attack,https://www.vlr.gg/247077/paper-rex-vs-edward-gaming-valorant-champions-2023-group-stage-winners-a
Valorant Champions 2023,KRÜ Esports,Giants Gaming,2023-08-11 15:00:00,Bo3,KRÜ ban Fracture; GIA ban Ascent; KRÜ pick Lotus; GIA pick Pearl; KRÜ ban Haven; GIA ban Bind; Split remains,Lotus: 10-13; Pearl: 12-14,1:07:37; 1:07:48,"Team 1: 7 / 3, Team 2: 5 / 8; Team 1: 5 / 7 / 0, Team 2: 7 / 5 / 2",Team 2: Defense; Team 1: Attack,https://www.vlr.gg/247078/kr-esports-vs-giants-gaming-valorant-champions-2023-group-stage-elim-a
Valorant Champions 2023,ZETA DIVISION,NRG Esports,2023-08-11 17:45:00,Bo3,Stats unavailable for Map 1 due to lobby remake.,Bind: 13-15; Haven: 1-13,-; 34:49,"Team 1: 5 / 7 / 1, Team 2: 7 / 5 / 3; Team 1: 0 / 1, Team 2: 2 / 11",Team 2: Attack; Team 1: Defense,https://www.vlr.gg/247096/zeta-division-vs-nrg-esports-valorant-champions-2023-group-stage-elim-c
Valorant Champions 2023,Natus Vincere,LOUD,2023-08-12 15:00:00,Bo3,NAVI ban Haven; LOUD ban Fracture; NAVI pick Pearl; LOUD pick Ascent; NAVI ban Lotus; LOUD ban Split; Bind remains,Pearl: 13-11; Ascent: 11-13; Bind: 11-13,1:16:45; 58:56; 59:34,"Team 1: 5 / 8, Team 2: 7 / 4; Team 1: 5 / 6, Team 2: 7 / 6; Team 1: 6 / 5, Team 2: 6 / 7",Team 2: Attack; Team 1: Defense,https://www.vlr.gg/247104/natus-vincere-vs-loud-valorant-champions-2023-group-stage-decider-d
Valorant Champions 2023,FUT Esports,T1,2023-08-12 18:55:00,Bo3,T1 ban Split; FUT ban Fracture; T1 pick Bind; FUT pick Pearl; T1 ban Lotus; FUT ban Ascent; Haven remains,Bind: 13-10; Pearl: 14-12,51:48; 1:01:07,"Team 1: 3 / 10, Team 2: 8 / 2; Team 1: 7 / 5 / 2, Team 2: 5 / 7 / 0",Team 1: Defense; Team 2: Defense,https://www.vlr.gg/247090/fut-esports-vs-t1-valorant-champions-2023-group-stage-decider-b
Valorant Champions 2023,EDward Gaming,Giants Gaming,2023-08-13 15:00:00,Bo3,GIA ban Pearl; EDG ban Lotus; GIA pick Split; EDG pick Fracture; GIA ban Haven; EDG ban Ascent; Bind remains,Split: 13-6; Fracture: 13-7,59:38; 47:05,"Team 1: 9 / 4, Team 2: 3 / 3; Team 1: 5 / 8, Team 2: 3 / 4",Team 1: Attack; Team 2: Attack,https://www.vlr.gg/247079/edward-gaming-vs-giants-gaming-valorant-champions-2023-group-stage-decider-a
Valorant Champions 2023,Bilibili Gaming,NRG Esports,2023-08-13 17:15:00,Bo3,NRG ban Split; BLG ban Haven; NRG pick Bind; BLG pick Ascent; NRG ban Pearl; BLG ban Fracture; Lotus remains,Bind: 13-10; Ascent: 13-5,1:04:04; 40:36,"Team 1: 8 / 5, Team 2: 3 / 7; Team 1: 8 / 5, Team 2: 4 / 1",Team 1: Defense; Team 2: Defense,https://www.vlr.gg/247098/bilibili-gaming-vs-nrg-esports-valorant-champions-2023-group-stage-decider-c
Valorant Champions 2023,FNATIC,LOUD,2023-08-16 15:00:00,Bo3,LOUD ban Fracture; FNC ban Pearl; LOUD pick Ascent; FNC pick Lotus; LOUD ban Bind; FNC ban Haven; Split remains,Ascent: 11-13; Lotus: 6-13,1:09:19; 44:40,"Team 1: 5 / 6, Team 2: 7 / 6; Team 1: 2 / 4, Team 2: 5 / 8",Team 1: Defense; Team 2: Attack,https://www.vlr.gg/248270/fnatic-vs-loud-valorant-champions-2023-playoffs-ubqf
