Match ID,Event,Year,Date,Match Format,Team 1,Team 2,Team A,Team B,Map Veto,Starting Sides,Veto Status
11,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-18 12:05:00,Bo3,DRX,Cloud9,Cloud9,DRX,"[{'Team': 'Cloud9', 'Action': 'ban', 'Map': 'Fracture'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'Cloud9', 'Action': 'pick', 'Map': 'Pearl'}, {'Team': 'DRX', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'Cloud9', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]",Team 1: Attack; Team 2: Defense; Team 1: Attack & Team 2: Defense,Complete
12,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-18 15:00:00,Bo3,Evil Geniuses,TALON,Evil Geniuses,TALON,"[{'Team': 'Evil Geniuses', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'TALON', 'Action': 'ban', 'Map': 'Pearl'}, {'Team': 'Evil Geniuses', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'TALON', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'Evil Geniuses', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'TALON', 'Action': 'ban', 'Map': 'Fracture'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]",Team 2: Attack; Team 1: Defense,Complete
13,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-19 12:05:00,Bo3,NRG Esports,LOUD,NRG Esports,LOUD,"[{'Team': 'NRG Esports', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'LOUD', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'NRG Esports', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'LOUD', 'Action': 'pick', 'Map': 'Pearl'}, {'Team': 'NRG Esports', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'LOUD', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Fracture'}]",Team 2: Attack; Team 1: Attack; Team 1: Defense & Team 2: Attack,Complete
14,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-19 16:00:00,Bo3,DRX,TALON,TALON,DRX,"[{'Team': 'TALON', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'TALON', 'Action': 'pick', 'Map': 'Fracture'}, {'Team': 'DRX', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'TALON', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Pearl'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]",Team 1: Attack; Team 2: Defense; Team 1: Attack & Team 2: Defense,Complete
15,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-22 12:00:00,Bo3,Team Liquid,Team Secret,Team Secret,Team Liquid,"[{'Team': 'Team Secret', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'Team Liquid', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'Team Secret', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'Team Liquid', 'Action': 'pick', 'Map': 'Fracture'}, {'Team': 'Team Secret', 'Action': 'ban', 'Map': 'Pearl'}, {'Team': 'Team Liquid', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]",Team 1: Attack; Team 2: Defense,Complete
16,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-22 14:30:00,Bo3,Natus Vincere,KRÜ Esports,KRÜ Esports,Natus Vincere,"[{'Team': 'KRÜ Esports', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'Natus Vincere', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'KRÜ Esports', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'Natus Vincere', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'KRÜ Esports', 'Action': 'ban', 'Map': 'Fracture'}, {'Team': 'Natus Vincere', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Pearl'}]",Team 1: Attack; Team 2: Attack,Complete
17,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-22 17:00:00,Bo3,ZETA DIVISION,LEVIATÁN,LEVIATÁN,ZETA DIVISION,"[{'Team': 'LEVIATÁN', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'ZETA DIVISION', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'LEVIATÁN', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'ZETA DIVISION', 'Action': 'pick', 'Map': 'Pearl'}, {'Team': 'LEVIATÁN', 'Action': 'ban', 'Map': 'Fracture'}, {'Team': 'ZETA DIVISION', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Haven'}]",Team 1: Defense; Team 2: Defense,Complete
18,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-23 12:05:00,Bo3,Team Vitality,Global Esports,Global Esports,Team Vitality,"[{'Team': 'Global Esports', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'Team Vitality', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'Global Esports', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'Team Vitality', 'Action': 'pick', 'Map': 'Pearl'}, {'Team': 'Global Esports', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'Team Vitality', 'Action': 'ban', 'Map': 'Fracture'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]",Team 1: Attack; Team 2: Attack; Team 1: Attack & Team 2: Defense,Complete
19,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-23 15:10:00,Bo3,FUT Esports,Rex Regum Qeon,Rex Regum Qeon,FUT Esports,"[{'Team': 'Rex Regum Qeon', 'Action': 'ban', 'Map': 'Fracture'}, {'Team': 'FUT Esports', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'Rex Regum Qeon', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'FUT Esports', 'Action': 'pick', 'Map': 'Pearl'}, {'Team': 'Rex Regum Qeon', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'FUT Esports', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]",Team 1: Defense; Team 2: Attack,Complete
20,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-23 17:30:00,Bo3,100 Thieves,EDward Gaming,100 Thieves,EDward Gaming,"[{'Team': '100 Thieves', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'EDward Gaming', 'Action': 'ban', 'Map': 'Haven'}, {'Team': '100 Thieves', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'EDward Gaming', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': '100 Thieves', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'EDward Gaming', 'Action': 'ban', 'Map': 'Fracture'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Pearl'}]",Team 2: Attack; Team 1: Attack; Team 1: Attack & Team 2: Defense,Complete
21,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-24 12:05:00,Bo3,Sentinels,FNATIC,FNATIC,Sentinels,"[{'Team': 'FNATIC', 'Action': 'ban', 'Map': 'Pearl'}, {'Team': 'Sentinels', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'FNATIC', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'Sentinels', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'FNATIC', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'Sentinels', 'Action': 'ban', 'Map': 'Fracture'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]",Team 1: Attack; Team 2: Defense,Complete
22,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-24 14:50:00,Bo3,T1,FURIA,T1,FURIA,"[{'Team': 'T1', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'FURIA', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'T1', 'Action': 'pick', 'Map': 'Pearl'}, {'Team': 'FURIA', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'T1', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'FURIA', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Fracture'}]",Team 2: Attack; Team 1: Attack,Complete
23,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-25 12:00:00,Bo3,Team Secret,Natus Vincere,Team Secret,Natus Vincere,"[{'Team': 'Team Secret', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'Natus Vincere', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'Team Secret', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'Natus Vincere', 'Action': 'pick', 'Map': 'Pearl'}, {'Team': 'Team Secret', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'Natus Vincere', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Fracture'}]",Team 2: Defense; Team 1: Attack,Complete
