Match_ID,Event,Year,Date,Team 1,Team 2,Match Format,Maps Picked/Banned,Score per Map,Score per Half,Sides Chosen by Non-Picker
14,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-19 16:00:00,DRX,Talon Esports,Bo3,TLN ban Haven; DRX ban Lotus; TLN pick Fracture; DRX pick Ascent; TLN ban Split; DRX ban Pearl; Icebox remains,Fracture: 10-13; Ascent: 13-6; Icebox: 13-10,"Team 1: 4 / 6, Team 2: 8 / 5; Team 1: 6 / 7, Team 2: 6 / 0; Team 1: 7 / 6, Team 2: 5 / 5",Team 1: Attack; Team 2: Defense
15,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-22 12:00:00,Team Liquid,Team Secret,Bo3,TS ban Ascent; TL ban Haven; TS pick Icebox; TL pick Fracture; TS ban Pearl; TL ban Split; Lotus remains,Icebox: 8-13; Fracture: 7-13,"Team 1: 2 / 6, Team 2: 10 / 3; Team 1: 3 / 4, Team 2: 9 / 4",Team 1: Attack; Team 2: Defense
16,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-22 14:30:00,Natus Vincere,KRÜ Esports,Bo3,KRÜ ban Icebox; NAVI ban Haven; KRÜ pick Ascent; NAVI pick Lotus; KRÜ ban Fracture; NAVI ban Split; Pearl remains,Ascent: 13-5; Lotus: 13-10,"Team 1: 9 / 4, Team 2: 3 / 2; Team 1: 10 / 3, Team 2: 1 / 9",Team 1: Attack; Team 2: Attack
17,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-22 17:00:00,ZETA DIVISION,LEVIATÁN,Bo3,LEV ban Split; ZETA ban Icebox; LEV pick Ascent; ZETA pick Pearl; LEV ban Fracture; ZETA ban Lotus; Haven remains,Ascent: 4-13; Pearl: 11-13,"Team 1: 2 / 2, Team 2: 3 / 10; Team 1: 6 / 5, Team 2: 6 / 7",Team 1: Defense; Team 2: Defense
18,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-23 12:05:00,Team Vitality,Global Esports,Bo3,GE ban Ascent; VIT ban Icebox; GE pick Split; VIT pick Pearl; GE ban Haven; VIT ban Fracture; Lotus remains,Split: 13-4; Pearl: 9-13; Lotus: 13-6,"Team 1: 9 / 4, Team 2: 3 / 1; Team 1: 2 / 7, Team 2: 8 / 5; Team 1: 8 / 5, Team 2: 4 / 2",Team 1: Attack; Team 2: Attack
19,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-23 15:10:00,FUT Esports,Rex Regum Qeon,Bo3,RRQ ban Fracture; FUT ban Haven; RRQ pick Lotus; FUT pick Pearl; RRQ ban Icebox; FUT ban Ascent; Split remains,Lotus: 13-3; Pearl: 13-11,"Team 1: 3 / 10, Team 2: 1 / 2; Team 1: 8 / 5, Team 2: 4 / 7",Team 1: Defense; Team 2: Attack
20,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-23 17:30:00,100 Thieves,EDward Gaming,Bo3,100T ban Ascent; EDG ban Haven; 100T pick Icebox; EDG pick Lotus; 100T ban Split; EDG ban Fracture; Pearl remains,Icebox: 13-10; Lotus: 9-13; Pearl: 14-12,"Team 1: 5 / 8, Team 2: 6 / 4; Team 1: 7 / 2, Team 2: 5 / 8; Team 1: 5 / 7 / 2, Team 2: 7 / 5 / 0",Team 2: Attack; Team 1: Attack
21,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-24 12:05:00,Sentinels,FNATIC,Bo3,FNC ban Pearl; SEN ban Icebox; FNC pick Haven; SEN pick Split; FNC ban Ascent; SEN ban Fracture; Lotus remains,Haven: 6-13; Split: 7-13,"Team 1: 3 / 3, Team 2: 9 / 4; Team 1: 6 / 1, Team 2: 6 / 7",Team 1: Attack; Team 2: Defense
22,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-24 14:50:00,T1,FURIA,Bo3,T1 ban Ascent; FUR ban Lotus; T1 pick Pearl; FUR pick Icebox; T1 ban Split; FUR ban Haven; Fracture remains,Pearl: 7-13; Icebox: 5-13,"Team 1: 1 / 6, Team 2: 7 / 6; Team 1: 5 / 0, Team 2: 7 / 6",Team 2: Attack; Team 1: Attack
23,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-25 12:00:00,Team Secret,Natus Vincere,Bo3,TS ban Ascent; NAVI ban Haven; TS pick Icebox; NAVI pick Pearl; TS ban Lotus; NAVI ban Split; Fracture remains,Icebox: 8-13; Pearl: 4-13,"Team 1: 6 / 2, Team 2: 6 / 7; Team 1: 3 / 1, Team 2: 9 / 4",Team 2: Defense; Team 1: Attack
