Match ID,Team X,Team Y,Team A,Team B,Map Name,Team X Score,Team Y Score,Team X Attack Rounds,Team X Defense Rounds,Team X Overtime Rounds,Team Y Attack Rounds,Team Y Defense Rounds,Team Y Overtime Rounds,Map Index,Side Picker,Side Picked,Overtime,Map Winner,Score Difference,Total Rounds Played,Map Picker,Team X Halftime Score,Team Y Halftime Score,Halftime Lead
27,Natus Vincere,LEVIATÁN,LEVIATÁN,Natus Vincere,Fracture,13,2,11,2,0,1,1,0,2,LEVIATÁN,Defense,0,Natus Vincere,11,15,Natus Vincere,11,1,10
28,100 Thieves,FNATIC,100 Thieves,FNATIC,Fracture,1,13,0,1,0,11,2,0,1,FNATIC,Attack,0,FNATIC,-12,14,100 Thieves,1,11,-10
28,FNATIC,100 Thieves,100 Thieves,FNATIC,Icebox,13,10,3,10,0,2,8,0,2,100 Thieves,Attack,0,FNATIC,3,23,FNATIC,10,2,8
29,LOUD,DRX,LOUD,DRX,Pearl,13,5,4,9,0,3,2,0,1,DRX,Attack,0,LOUD,8,18,LOUD,9,3,6
29,DRX,LOUD,LOUD,DRX,Icebox,8,13,5,3,0,9,4,0,2,LOUD,Attack,0,LOUD,-5,21,DRX,3,9,-6
29,LOUD,DRX,LOUD,DRX,Split,7,13,3,4,0,4,9,0,3,DRX,Defense,0,DRX,-6,20,LOUD,3,9,-6
29,DRX,LOUD,LOUD,DRX,Fracture,13,7,7,6,0,6,1,0,4,LOUD,Attack,0,DRX,6,20,DRX,6,6,0
29,LOUD,DRX,LOUD,DRX,Ascent,13,8,7,6,0,3,5,0,5,DRX,Defense,0,LOUD,5,21,,7,5,2
30,FNATIC,Natus Vincere,FNATIC,Natus Vincere,Haven,13,11,6,7,0,5,6,0,1,Natus Vincere,Attack,0,FNATIC,2,24,FNATIC,7,5,2
30,Natus Vincere,FNATIC,FNATIC,Natus Vincere,Lotus,4,13,2,2,0,10,3,0,2,FNATIC,Attack,0,FNATIC,-9,17,Natus Vincere,2,10,-8
30,FNATIC,Natus Vincere,FNATIC,Natus Vincere,Fracture,13,11,6,7,0,5,6,0,3,Natus Vincere,Defense,0,FNATIC,2,24,FNATIC,6,6,0
31,LOUD,FNATIC,LOUD,FNATIC,Ascent,8,13,4,4,0,5,8,0,1,FNATIC,Defense,0,FNATIC,-5,21,LOUD,4,8,-4
31,FNATIC,LOUD,LOUD,FNATIC,Fracture,13,7,6,7,0,1,6,0,2,LOUD,Defense,0,FNATIC,6,20,FNATIC,6,6,0
31,LOUD,FNATIC,LOUD,FNATIC,Split,13,9,7,6,0,4,5,0,3,FNATIC,Defense,0,LOUD,4,22,LOUD,7,5,2
31,FNATIC,LOUD,LOUD,FNATIC,Lotus,8,13,3,5,0,7,6,0,4,LOUD,Attack,0,LOUD,-5,21,FNATIC,5,7,-2
31,LOUD,FNATIC,LOUD,FNATIC,Icebox,12,14,9,3,0,9,3,2,5,FNATIC,Defense,1,FNATIC,-2,26,,9,3,6
32,DRX,ZETA DIVISION,DRX,ZETA DIVISION,Ascent,13,5,8,5,0,1,4,0,1,ZETA DIVISION,Defense,0,DRX,8,18,DRX,8,4,4
32,ZETA DIVISION,DRX,DRX,ZETA DIVISION,Pearl,5,13,4,1,0,11,2,0,2,DRX,Attack,0,DRX,-8,18,ZETA DIVISION,1,11,-10
33,Global Esports,T1,Global Esports,T1,Pearl,8,13,3,5,0,4,9,0,1,T1,Defense,0,T1,-5,21,Global Esports,3,9,-6
33,T1,Global Esports,Global Esports,T1,Haven,4,13,2,2,0,10,3,0,2,Global Esports,Attack,0,Global Esports,-9,17,T1,2,10,-8
33,T1,Global Esports,Global Esports,T1,Lotus,13,7,5,8,0,4,3,0,3,Global Esports,Attack,0,T1,6,20,,8,4,4
34,Paper Rex,DetonatioN FocusMe,Paper Rex,DetonatioN FocusMe,Pearl,13,5,4,9,0,3,2,0,1,DetonatioN FocusMe,Attack,0,Paper Rex,8,18,Paper Rex,9,3,6
34,DetonatioN FocusMe,Paper Rex,Paper Rex,DetonatioN FocusMe,Lotus,11,13,6,5,0,7,6,0,2,Paper Rex,Attack,0,Paper Rex,-2,24,DetonatioN FocusMe,5,7,-2
35,TALON,Team Secret,TALON,Team Secret,Ascent,5,13,4,1,0,5,8,0,1,Team Secret,Defense,0,Team Secret,-8,18,TALON,4,8,-4
35,Team Secret,TALON,TALON,Team Secret,Icebox,8,13,3,5,0,4,9,0,2,TALON,Defense,0,TALON,-5,21,Team Secret,3,9,-6
35,Team Secret,TALON,TALON,Team Secret,Fracture,13,3,10,3,0,1,2,0,3,TALON,Defense,0,Team Secret,10,16,,10,2,8
36,Gen.G,Rex Regum Qeon,Gen.G,Rex Regum Qeon,Fracture,13,9,8,5,0,5,4,0,1,Rex Regum Qeon,Defense,0,Gen.G,4,22,Gen.G,8,4,4
36,Rex Regum Qeon,Gen.G,Gen.G,Rex Regum Qeon,Lotus,6,13,2,4,0,8,5,0,2,Gen.G,Attack,0,Gen.G,-7,19,Rex Regum Qeon,4,8,-4
37,ZETA DIVISION,Rex Regum Qeon,ZETA DIVISION,Rex Regum Qeon,Haven,10,13,3,7,0,4,9,0,1,Rex Regum Qeon,Defense,0,Rex Regum Qeon,-3,23,ZETA DIVISION,3,9,-6
37,Rex Regum Qeon,ZETA DIVISION,ZETA DIVISION,Rex Regum Qeon,Ascent,10,13,4,6,0,6,7,0,2,ZETA DIVISION,Attack,0,ZETA DIVISION,-3,23,Rex Regum Qeon,6,6,0
37,Rex Regum Qeon,ZETA DIVISION,ZETA DIVISION,Rex Regum Qeon,Lotus,5,13,0,5,0,7,6,0,3,ZETA DIVISION,Attack,0,ZETA DIVISION,-8,18,,5,7,-2
38,T1,TALON,T1,TALON,Ascent,13,8,8,5,0,4,4,0,1,TALON,Defense,0,T1,5,21,T1,8,4,4
38,TALON,T1,T1,TALON,Haven,6,13,3,3,0,9,4,0,2,T1,Attack,0,T1,-7,19,TALON,3,9,-6
39,Team Secret,Paper Rex,Team Secret,Paper Rex,Haven,11,13,5,6,0,6,7,0,1,Paper Rex,Attack,0,Paper Rex,-2,24,Team Secret,6,6,0
39,Paper Rex,Team Secret,Team Secret,Paper Rex,Fracture,11,13,4,7,0,5,8,0,2,Team Secret,Defense,0,Team Secret,-2,24,Paper Rex,4,8,-4
39,Paper Rex,Team Secret,Team Secret,Paper Rex,Split,10,13,7,3,0,8,5,0,3,Team Secret,Defense,0,Team Secret,-3,23,,7,5,2
40,DetonatioN FocusMe,Gen.G,DetonatioN FocusMe,Gen.G,Lotus,8,13,1,7,0,5,8,0,1,Gen.G,Attack,0,Gen.G,-5,21,DetonatioN FocusMe,7,5,2
40,Gen.G,DetonatioN FocusMe,DetonatioN FocusMe,Gen.G,Fracture,4,13,0,4,0,8,5,0,2,DetonatioN FocusMe,Attack,0,DetonatioN FocusMe,-9,17,Gen.G,4,8,-4
40,Gen.G,DetonatioN FocusMe,DetonatioN FocusMe,Gen.G,Pearl,13,8,8,5,0,7,1,0,3,DetonatioN FocusMe,Attack,0,Gen.G,5,21,,5,7,-2
41,DRX,Global Esports,DRX,Global Esports,Haven,13,11,6,7,0,5,6,0,1,Global Esports,Attack,0,DRX,2,24,DRX,7,5,2
41,Global Esports,DRX,DRX,Global Esports,Split,15,17,6,6,3,6,6,5,2,DRX,Defense,1,DRX,-2,32,Global Esports,6,6,0
42,Rex Regum Qeon,DetonatioN FocusMe,Rex Regum Qeon,DetonatioN FocusMe,Haven,13,4,3,10,0,2,2,0,1,DetonatioN FocusMe,Attack,0,Rex Regum Qeon,9,17,Rex Regum Qeon,10,2,8
42,DetonatioN FocusMe,Rex Regum Qeon,Rex Regum Qeon,DetonatioN FocusMe,Pearl,7,13,3,4,0,4,9,0,2,Rex Regum Qeon,Defense,0,Rex Regum Qeon,-6,20,DetonatioN FocusMe,3,9,-6
43,T1,Paper Rex,T1,Paper Rex,Pearl,3,13,2,1,0,11,2,0,1,Paper Rex,Attack,0,Paper Rex,-10,16,T1,1,11,-10
43,Paper Rex,T1,T1,Paper Rex,Fracture,13,6,7,6,0,1,5,0,2,T1,Defense,0,Paper Rex,7,19,Paper Rex,7,5,2
44,Global Esports,ZETA DIVISION,Global Esports,ZETA DIVISION,Pearl,13,9,4,9,0,3,6,0,1,ZETA DIVISION,Attack,0,Global Esports,4,22,Global Esports,9,3,6
44,ZETA DIVISION,Global Esports,Global Esports,ZETA DIVISION,Ascent,14,12,5,7,2,5,7,0,2,Global Esports,Defense,1,ZETA DIVISION,2,26,ZETA DIVISION,5,7,-2
44,ZETA DIVISION,Global Esports,Global Esports,ZETA DIVISION,Haven,13,8,5,8,0,4,4,0,3,Global Esports,Attack,0,ZETA DIVISION,5,21,,8,4,4
45,TALON,DRX,TALON,DRX,Split,3,13,1,2,0,2,11,0,1,DRX,Defense,0,DRX,-10,16,TALON,1,11,-10
45,DRX,TALON,TALON,DRX,Pearl,13,10,6,7,0,5,5,0,2,TALON,Attack,0,DRX,3,23,DRX,7,5,2
46,Gen.G,Team Secret,Gen.G,Team Secret,Haven,13,8,7,6,0,3,5,0,1,Team Secret,Defense,0,Gen.G,5,21,Gen.G,7,5,2
46,Team Secret,Gen.G,Gen.G,Team Secret,Fracture,11,13,5,6,0,6,7,0,2,Gen.G,Attack,0,Gen.G,-2,24,Team Secret,6,6,0
47,DRX,Paper Rex,DRX,Paper Rex,Ascent,13,5,9,4,0,2,3,0,1,Paper Rex,Defense,0,DRX,8,18,DRX,9,3,6
47,Paper Rex,DRX,DRX,Paper Rex,Split,10,13,5,5,0,6,7,0,2,DRX,Defense,0,DRX,-3,23,Paper Rex,5,7,-2
48,Team Secret,Rex Regum Qeon,Team Secret,Rex Regum Qeon,Icebox,10,13,5,5,0,6,7,0,1,Rex Regum Qeon,Defense,0,Rex Regum Qeon,-3,23,Team Secret,5,7,-2
48,Rex Regum Qeon,Team Secret,Team Secret,Rex Regum Qeon,Split,13,7,10,3,0,5,2,0,2,Team Secret,Defense,0,Rex Regum Qeon,6,20,Rex Regum Qeon,10,2,8
49,T1,Gen.G,T1,Gen.G,Ascent,5,13,3,2,0,4,9,0,1,Gen.G,Defense,0,Gen.G,-8,18,T1,3,9,-6
49,Gen.G,T1,T1,Gen.G,Haven,13,5,7,6,0,0,5,0,2,T1,Defense,0,Gen.G,8,18,Gen.G,7,5,2
50,ZETA DIVISION,DetonatioN FocusMe,ZETA DIVISION,DetonatioN FocusMe,Ascent,13,9,10,3,0,7,2,0,1,DetonatioN FocusMe,Defense,0,ZETA DIVISION,4,22,ZETA DIVISION,10,2,8
50,DetonatioN FocusMe,ZETA DIVISION,ZETA DIVISION,DetonatioN FocusMe,Haven,5,13,2,3,0,9,4,0,2,ZETA DIVISION,Attack,0,ZETA DIVISION,-8,18,DetonatioN FocusMe,3,9,-6
51,Global Esports,TALON,Global Esports,TALON,Split,13,6,4,9,0,3,3,0,1,TALON,Attack,0,Global Esports,7,19,Global Esports,9,3,6
51,TALON,Global Esports,Global Esports,TALON,Icebox,11,13,6,5,0,7,6,0,2,Global Esports,Defense,0,Global Esports,-2,24,TALON,6,6,0
52,Paper Rex,Global Esports,Paper Rex,Global Esports,Icebox,7,13,6,1,0,7,6,0,1,Global Esports,Defense,0,Global Esports,-6,20,Paper Rex,6,6,0
52,Global Esports,Paper Rex,Paper Rex,Global Esports,Split,6,13,3,3,0,9,4,0,2,Paper Rex,Attack,0,Paper Rex,-7,19,Global Esports,3,9,-6
52,Global Esports,Paper Rex,Paper Rex,Global Esports,Pearl,7,13,3,4,0,8,5,0,3,Paper Rex,Attack,0,Paper Rex,-6,20,,4,8,-4
53,Gen.G,DRX,Gen.G,DRX,Haven,7,13,6,1,0,11,2,0,1,DRX,Attack,0,DRX,-6,20,Gen.G,1,11,-10
53,DRX,Gen.G,Gen.G,DRX,Fracture,10,13,4,6,0,6,7,0,2,Gen.G,Attack,0,Gen.G,-3,23,DRX,6,6,0
53,DRX,Gen.G,Gen.G,DRX,Pearl,13,4,4,9,0,3,1,0,3,Gen.G,Attack,0,DRX,9,17,,9,3,6
54,Rex Regum Qeon,T1,Rex Regum Qeon,T1,Haven,9,13,4,5,0,7,6,0,1,T1,Attack,0,T1,-4,22,Rex Regum Qeon,5,7,-2
54,T1,Rex Regum Qeon,Rex Regum Qeon,T1,Fracture,13,4,9,4,0,1,3,0,2,Rex Regum Qeon,Defense,0,T1,9,17,T1,9,3,6
55,DetonatioN FocusMe,Team Secret,DetonatioN FocusMe,Team Secret,Ascent,11,13,5,6,0,6,7,0,1,Team Secret,Attack,0,Team Secret,-2,24,DetonatioN FocusMe,6,6,0
55,Team Secret,DetonatioN FocusMe,DetonatioN FocusMe,Team Secret,Haven,13,8,4,9,0,3,5,0,2,DetonatioN FocusMe,Attack,0,Team Secret,5,21,Team Secret,9,3,6
56,TALON,ZETA DIVISION,TALON,ZETA DIVISION,Haven,13,8,5,8,0,4,4,0,1,ZETA DIVISION,Attack,0,TALON,5,21,TALON,8,4,4
56,ZETA DIVISION,TALON,TALON,ZETA DIVISION,Ascent,14,16,6,6,2,6,6,4,2,TALON,Attack,1,TALON,-2,30,ZETA DIVISION,6,6,0
57,T1,DetonatioN FocusMe,T1,DetonatioN FocusMe,Lotus,13,9,6,7,0,5,4,0,1,DetonatioN FocusMe,Attack,0,T1,4,22,T1,7,5,2
57,DetonatioN FocusMe,T1,T1,DetonatioN FocusMe,Split,13,9,7,6,0,4,5,0,2,T1,Defense,0,DetonatioN FocusMe,4,22,DetonatioN FocusMe,7,5,2
57,DetonatioN FocusMe,T1,T1,DetonatioN FocusMe,Fracture,10,13,4,6,0,6,7,0,3,T1,Attack,0,T1,-3,23,,6,6,0
58,ZETA DIVISION,Team Secret,ZETA DIVISION,Team Secret,Split,13,9,8,5,0,5,4,0,1,Team Secret,Defense,0,ZETA DIVISION,4,22,ZETA DIVISION,8,4,4
58,Team Secret,ZETA DIVISION,ZETA DIVISION,Team Secret,Lotus,13,10,7,6,0,6,4,0,2,ZETA DIVISION,Attack,0,Team Secret,3,23,Team Secret,6,6,0
58,Team Secret,ZETA DIVISION,ZETA DIVISION,Team Secret,Fracture,9,13,4,5,0,7,6,0,3,ZETA DIVISION,Attack,0,ZETA DIVISION,-4,22,,5,7,-2
59,Global Esports,Gen.G,Global Esports,Gen.G,Pearl,13,8,8,5,0,7,1,0,1,Gen.G,Attack,0,Global Esports,5,21,Global Esports,5,7,-2
59,Gen.G,Global Esports,Global Esports,Gen.G,Lotus,8,13,3,5,0,7,6,0,2,Global Esports,Attack,0,Global Esports,-5,21,Gen.G,5,7,-2
60,DRX,Rex Regum Qeon,DRX,Rex Regum Qeon,Haven,8,13,2,6,0,6,7,0,1,Rex Regum Qeon,Attack,0,Rex Regum Qeon,-5,21,DRX,6,6,0
60,Rex Regum Qeon,DRX,DRX,Rex Regum Qeon,Split,10,13,6,4,0,7,6,0,2,DRX,Defense,0,DRX,-3,23,Rex Regum Qeon,6,6,0
60,Rex Regum Qeon,DRX,DRX,Rex Regum Qeon,Pearl,2,13,0,2,0,10,3,0,3,DRX,Attack,0,DRX,-11,15,,2,10,-8
61,TALON,Paper Rex,TALON,Paper Rex,Pearl,13,11,9,4,0,8,3,0,1,Paper Rex,Attack,0,TALON,2,24,TALON,4,8,-4
61,Paper Rex,TALON,TALON,Paper Rex,Split,13,4,4,9,0,3,1,0,2,TALON,Attack,0,Paper Rex,9,17,Paper Rex,9,3,6
61,Paper Rex,TALON,TALON,Paper Rex,Fracture,13,10,7,6,0,6,4,0,3,TALON,Attack,0,Paper Rex,3,23,,6,6,0
62,Gen.G,TALON,Gen.G,TALON,Fracture,8,13,3,5,0,7,6,0,1,TALON,Attack,0,TALON,-5,21,Gen.G,5,7,-2
62,TALON,Gen.G,Gen.G,TALON,Lotus,13,7,6,7,0,5,2,0,2,Gen.G,Attack,0,TALON,6,20,TALON,7,5,2
