Match ID,Team 1,Team 2,Team A,Team B,Map Name,Team 1 Score,Team 2 Score,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 1 Overtime Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Team 2 Overtime Rounds,Map Index,Side Picker,Side Picked,Overtime,Map Winner,Score Difference,Total Rounds Played,Map Picker
5,Cloud9,Paper Rex,Paper Rex,Cloud9,Lotus,13,8,6,7,0,5,3,0,1,Cloud9,Defense,0,Cloud9,5,21,Paper Rex
5,Cloud9,Paper Rex,Paper Rex,Cloud9,Pearl,13,4,10,3,0,2,2,0,2,Paper Rex,Defense,0,Cloud9,9,17,Cloud9
6,Team Heretics,Evil Geniuses,Evil Geniuses,Team Heretics,Pearl,8,13,2,6,0,6,7,0,1,Team Heretics,Defense,0,Evil Geniuses,-5,21,Evil Geniuses
6,Team Heretics,Evil Geniuses,Evil Geniuses,Team Heretics,Ascent,8,13,5,3,0,6,7,0,2,Evil Geniuses,Defense,0,Evil Geniuses,-5,21,Team Heretics
7,MIBR,TALON,MIBR,TALON,Haven,8,13,4,4,0,5,8,0,1,TALON,Defense,0,TALON,-5,21,MIBR
7,MIBR,TALON,MIBR,TALON,Fracture,11,13,5,6,0,6,7,0,2,MIBR,Attack,0,TALON,-2,24,TALON
8,Gen.G,LOUD,LOUD,Gen.G,Pearl,9,13,7,2,0,8,5,0,1,Gen.G,Attack,0,LOUD,-4,22,LOUD
8,Gen.G,LOUD,LOUD,Gen.G,Fracture,12,14,8,4,0,8,4,2,2,LOUD,Attack,1,LOUD,-2,26,Gen.G
9,NRG Esports,GIANTX,NRG Esports,GIANTX,Lotus,12,14,8,4,0,8,4,2,1,GIANTX,Attack,1,GIANTX,-2,26,NRG Esports
9,NRG Esports,GIANTX,NRG Esports,GIANTX,Haven,13,1,11,2,0,0,1,0,2,NRG Esports,Attack,0,NRG Esports,12,14,GIANTX
9,NRG Esports,GIANTX,NRG Esports,GIANTX,Icebox,13,7,4,9,0,3,4,0,3,NRG Esports,Defense,0,NRG Esports,6,20,
10,LOUD,Karmine Corp,LOUD,Karmine Corp,Pearl,13,10,8,5,0,6,4,0,1,Karmine Corp,Defense,0,LOUD,3,23,LOUD
10,LOUD,Karmine Corp,LOUD,Karmine Corp,Split,13,8,8,5,0,4,4,0,2,LOUD,Attack,0,LOUD,5,21,Karmine Corp
11,DRX,Cloud9,Cloud9,DRX,Pearl,3,13,3,0,0,4,9,0,1,DRX,Attack,0,Cloud9,-10,16,Cloud9
11,DRX,Cloud9,Cloud9,DRX,Haven,13,7,9,4,0,4,3,0,2,Cloud9,Defense,0,DRX,6,20,DRX
11,DRX,Cloud9,Cloud9,DRX,Icebox,13,2,11,2,0,1,1,0,3,Cloud9,Defense,0,DRX,11,15,
12,Evil Geniuses,TALON,Evil Geniuses,TALON,Haven,11,13,2,9,0,3,10,0,1,TALON,Attack,0,TALON,-2,24,Evil Geniuses
12,Evil Geniuses,TALON,Evil Geniuses,TALON,Split,10,13,2,8,0,4,9,0,2,Evil Geniuses,Defense,0,TALON,-3,23,TALON
13,NRG Esports,LOUD,NRG Esports,LOUD,Split,3,13,0,3,0,9,4,0,1,LOUD,Attack,0,LOUD,-10,16,NRG Esports
13,NRG Esports,LOUD,NRG Esports,LOUD,Pearl,15,13,7,5,3,7,5,1,2,NRG Esports,Attack,1,NRG Esports,2,28,LOUD
13,NRG Esports,LOUD,NRG Esports,LOUD,Fracture,16,18,7,5,4,7,5,6,3,NRG Esports,Defense,1,LOUD,-2,34,
14,DRX,TALON,TALON,DRX,Fracture,10,13,4,6,0,5,8,0,1,DRX,Attack,0,TALON,-3,23,TALON
14,DRX,TALON,TALON,DRX,Ascent,13,6,6,7,0,0,6,0,2,TALON,Defense,0,DRX,7,19,DRX
14,DRX,TALON,TALON,DRX,Icebox,13,10,7,6,0,5,5,0,3,TALON,Defense,0,DRX,3,23,
15,Team Liquid,Team Secret,Team Secret,Team Liquid,Icebox,8,13,2,6,0,3,10,0,1,Team Liquid,Attack,0,Team Secret,-5,21,Team Secret
15,Team Liquid,Team Secret,Team Secret,Team Liquid,Fracture,7,13,3,4,0,4,9,0,2,Team Secret,Defense,0,Team Secret,-6,20,Team Liquid
16,Natus Vincere,KRÜ Esports,KRÜ Esports,Natus Vincere,Ascent,13,5,9,4,0,2,3,0,1,Natus Vincere,Attack,0,Natus Vincere,8,18,KRÜ Esports
16,Natus Vincere,KRÜ Esports,KRÜ Esports,Natus Vincere,Lotus,13,10,10,3,0,9,1,0,2,KRÜ Esports,Attack,0,Natus Vincere,3,23,Natus Vincere
17,ZETA DIVISION,LEVIATÁN,LEVIATÁN,ZETA DIVISION,Ascent,4,13,2,2,0,10,3,0,1,ZETA DIVISION,Defense,0,LEVIATÁN,-9,17,LEVIATÁN
17,ZETA DIVISION,LEVIATÁN,LEVIATÁN,ZETA DIVISION,Pearl,11,13,6,5,0,7,6,0,2,LEVIATÁN,Defense,0,LEVIATÁN,-2,24,ZETA DIVISION
18,Team Vitality,Global Esports,Global Esports,Team Vitality,Split,13,4,9,4,0,1,3,0,1,Team Vitality,Attack,0,Team Vitality,9,17,Global Esports
18,Team Vitality,Global Esports,Global Esports,Team Vitality,Pearl,9,13,2,7,0,5,8,0,2,Global Esports,Attack,0,Global Esports,-4,22,Team Vitality
18,Team Vitality,Global Esports,Global Esports,Team Vitality,Lotus,13,6,8,5,0,2,4,0,3,Global Esports,Defense,0,Team Vitality,7,19,
19,FUT Esports,Rex Regum Qeon,Rex Regum Qeon,FUT Esports,Lotus,13,3,3,10,0,2,1,0,1,FUT Esports,Defense,0,FUT Esports,10,16,Rex Regum Qeon
19,FUT Esports,Rex Regum Qeon,Rex Regum Qeon,FUT Esports,Pearl,13,11,8,5,0,7,4,0,2,Rex Regum Qeon,Attack,0,FUT Esports,2,24,FUT Esports
20,100 Thieves,EDward Gaming,100 Thieves,EDward Gaming,Icebox,13,10,5,8,0,4,6,0,1,EDward Gaming,Attack,0,100 Thieves,3,23,100 Thieves
20,100 Thieves,EDward Gaming,100 Thieves,EDward Gaming,Lotus,9,13,7,2,0,8,5,0,2,100 Thieves,Attack,0,EDward Gaming,-4,22,EDward Gaming
20,100 Thieves,EDward Gaming,100 Thieves,EDward Gaming,Pearl,14,12,5,7,2,5,7,0,3,100 Thieves,Attack,1,100 Thieves,2,26,
21,Sentinels,FNATIC,FNATIC,Sentinels,Haven,6,13,3,3,0,4,9,0,1,Sentinels,Attack,0,FNATIC,-7,19,FNATIC
21,Sentinels,FNATIC,FNATIC,Sentinels,Split,7,13,6,1,0,7,6,0,2,FNATIC,Defense,0,FNATIC,-6,20,Sentinels
22,T1,FURIA,T1,FURIA,Pearl,7,13,1,6,0,6,7,0,1,FURIA,Attack,0,FURIA,-6,20,T1
