Match ID,Date,Team 1_0,Team 1_1,Team 1_2,Team 1_3,Team 1_4,Team 1_5,Team 2_0,Team 2_1,Team 2_2,Team 2_3,Team 2_4,Team 2_5,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Overtime,Score Difference,Map_Abyss,Map_Ascent,Map_Bind,Map_Breeze,Map_Haven,Map_Icebox,Map_Lotus,Map_Split,Map_Sunset
17,2024-03-02 17:00:00,0,0,1,0,1,0,0,0,1,0,1,0,4,1,5,8,0,-8,False,False,False,False,False,False,False,False,True
18,2024-03-02 20:00:00,0,0,0,0,0,1,0,0,0,0,1,1,5,7,5,7,1,-2,False,False,False,False,False,False,False,False,True
18,2024-03-02 20:00:00,0,0,0,0,0,1,0,0,0,0,1,1,8,5,4,4,0,5,False,True,False,False,False,False,False,False,False
18,2024-03-02 20:00:00,0,0,0,0,0,1,0,0,0,0,1,1,1,2,2,11,0,-10,False,False,False,False,False,False,False,True,False
19,2024-03-03 17:00:00,0,0,0,0,1,1,0,0,0,0,1,1,5,4,8,5,0,-4,False,False,False,False,False,False,False,False,True
19,2024-03-03 17:00:00,0,0,0,0,1,1,0,0,0,0,1,1,3,0,4,9,0,-10,False,False,False,False,False,False,False,True,False
19,2024-03-03 17:00:00,0,0,0,0,1,1,0,0,0,0,1,1,8,5,7,4,0,2,False,False,False,False,False,True,False,False,False
19,2024-03-03 17:00:00,0,0,0,0,1,1,0,0,0,0,1,1,9,4,5,3,0,5,False,False,True,False,False,False,False,False,False
19,2024-03-03 17:00:00,0,0,0,0,1,1,0,0,0,0,1,1,2,2,10,3,0,-9,False,False,False,False,False,False,True,False,False
20,2024-02-17 01:00:00,0,0,1,0,1,1,0,0,1,0,1,1,6,6,6,6,1,2,False,False,False,True,False,False,False,False,False
20,2024-02-17 01:00:00,0,0,1,0,1,1,0,0,1,0,1,1,9,4,3,3,0,7,False,False,False,False,False,False,True,False,False
21,2024-02-17 08:45:00,0,0,1,1,0,0,0,0,1,1,0,0,6,7,5,6,0,2,False,False,False,False,False,True,False,False,False
21,2024-02-17 08:45:00,0,0,1,1,0,0,0,0,1,1,0,0,2,9,3,10,0,-2,False,False,False,False,False,False,False,True,False
21,2024-02-17 08:45:00,0,0,1,1,0,0,0,0,1,1,0,0,5,8,4,4,0,5,False,False,False,False,False,False,False,False,True
22,2024-02-18 01:00:00,0,0,1,1,0,1,0,0,1,1,0,1,6,7,5,5,0,3,False,False,True,False,False,False,False,False,False
22,2024-02-18 01:00:00,0,0,1,1,0,1,0,0,1,1,0,1,7,6,6,1,0,6,False,False,False,False,False,True,False,False,False
23,2024-02-18 03:30:00,0,0,1,1,1,0,0,0,1,1,1,0,3,5,4,9,0,-5,False,False,False,True,False,False,False,False,False
23,2024-02-18 03:30:00,0,0,1,1,1,0,0,0,1,1,1,0,3,0,4,9,0,-10,False,True,False,False,False,False,False,False,False
24,2024-02-18 05:30:00,0,0,1,1,1,1,0,0,1,1,1,1,6,7,5,3,0,5,False,False,False,False,False,False,True,False,False
24,2024-02-18 05:30:00,0,0,1,1,1,1,0,0,1,1,1,1,5,8,4,4,0,5,False,False,False,True,False,False,False,False,False
25,2024-02-19 01:00:00,0,0,1,1,0,0,0,1,0,0,0,0,7,6,6,4,0,3,False,False,False,True,False,False,False,False,False
25,2024-02-19 01:00:00,0,0,1,1,0,0,0,1,0,0,0,0,5,5,6,7,0,-3,False,False,False,False,False,False,True,False,False
25,2024-02-19 01:00:00,0,0,1,1,0,0,0,1,0,0,0,0,2,5,3,10,0,-6,False,False,False,False,False,False,False,False,True
26,2024-02-19 04:15:00,0,1,0,0,0,0,0,0,1,1,0,1,4,5,7,6,0,-4,False,False,False,False,False,False,False,False,True
26,2024-02-19 04:15:00,0,1,0,0,0,0,0,0,1,1,0,1,9,4,8,2,0,3,False,False,False,False,False,True,False,False,False
26,2024-02-19 04:15:00,0,1,0,0,0,0,0,0,1,1,0,1,7,4,8,5,0,-2,False,False,False,False,False,False,False,True,False
27,2024-02-19 08:00:00,0,0,1,0,1,1,0,1,0,0,0,1,6,5,7,6,0,-2,False,True,False,False,False,False,False,False,False
