Event,Team 1,Team 2,Date,Match Format,Maps Picked/Banned,Map Scores,Team 1 Attack,Team 1 Defense,Team 1 Overtime,Team 2 Defense,Team 2 Attack,Team 2 Overtime,Durations (in seconds)
Champions Tour 2024: China Stage 2,All Gamers,TYLOO,2024-06-16 05:00:00,Bo3,"[{'Team': 'AG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'TYL', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'AG', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'TYL', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'AG', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'TYL', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]","[{'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 10}, {'Map': 'Icebox', 'Team 1 Score': 13, 'Team 2 Score': 4}]","[7, 8]","[6, 5]","[None, None]","[5, 4]","[5, 0]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,Bilibili Gaming,Wolves Esports,2024-06-16 07:05:00,Bo3,"[{'Team': 'WOL', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'BLG', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'WOL', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'BLG', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'WOL', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'BLG', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]","[{'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 5}, {'Map': 'Bind', 'Team 1 Score': 13, 'Team 2 Score': 7}]","[4, 4]","[9, 9]","[None, None]","[2, 4]","[3, 3]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,Dragon Ranger Gaming,Nova Esports,2024-06-21 05:00:00,Bo3,"[{'Team': 'DRG', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'NOVA', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'DRG', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'NOVA', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'DRG', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'NOVA', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]","[{'Map': 'Ascent', 'Team 1 Score': 13, 'Team 2 Score': 7}, {'Map': 'Lotus', 'Team 1 Score': 12, 'Team 2 Score': 14}, {'Map': 'Sunset', 'Team 1 Score': 5, 'Team 2 Score': 13}]","[6, 8, 2]","[7, 4, 3]","[None, 0, None]","[6, 4, 4]","[1, 8, 9]","[None, 2, None]","[None, None, None]"
Champions Tour 2024: China Stage 2,FunPlus Phoenix,Trace Esports,2024-06-21 08:15:00,Bo3,"[{'Team': 'TE', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'TE', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'FPX', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'TE', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]","[{'Map': 'Haven', 'Team 1 Score': 13, 'Team 2 Score': 5}, {'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 15}, {'Map': 'Sunset', 'Team 1 Score': 6, 'Team 2 Score': 13}]","[10, 3, 1]","[3, 9, 5]","[None, 1, None]","[2, 9, 6]","[3, 3, 7]","[None, 3, None]","[None, None, None]"
Champions Tour 2024: China Stage 2,Titan Esports Club,All Gamers,2024-06-22 05:00:00,Bo3,"[{'Team': 'AG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'TEC', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'AG', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'TEC', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'AG', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'TEC', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]","[{'Map': 'Sunset', 'Team 1 Score': 10, 'Team 2 Score': 13}, {'Map': 'Icebox', 'Team 1 Score': 6, 'Team 2 Score': 13}]","[8, 3]","[2, 3]","[None, None]","[4, 4]","[9, 9]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,EDward Gaming,Wolves Esports,2024-06-22 07:00:00,Bo3,"[{'Team': 'WOL', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'WOL', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'WOL', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]","[{'Map': 'Split', 'Team 1 Score': 13, 'Team 2 Score': 7}, {'Map': 'Bind', 'Team 1 Score': 12, 'Team 2 Score': 14}, {'Map': 'Icebox', 'Team 1 Score': 7, 'Team 2 Score': 13}]","[4, 5, 5]","[9, 7, 2]","[None, 0, None]","[4, 7, 7]","[3, 5, 6]","[None, 2, None]","[None, None, None]"
Champions Tour 2024: China Stage 2,TYLOO,Trace Esports,2024-06-23 05:00:00,Bo3,"[{'Team': 'TYL', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'TE', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'TYL', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'TE', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'TYL', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'TE', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Haven'}]","[{'Map': 'Split', 'Team 1 Score': 11, 'Team 2 Score': 13}, {'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 7}, {'Map': 'Haven', 'Team 1 Score': 4, 'Team 2 Score': 13}]","[7, 7, 4]","[4, 6, 0]","[None, None, None]","[5, 5, 8]","[8, 2, 5]","[None, None, None]","[None, None, None]"
Champions Tour 2024: China Stage 2,Nova Esports,Bilibili Gaming,2024-06-23 08:05:00,Bo3,"[{'Team': 'BLG', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'NOVA', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'BLG', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'NOVA', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'BLG', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'NOVA', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]","[{'Map': 'Split', 'Team 1 Score': 16, 'Team 2 Score': 14}, {'Map': 'Bind', 'Team 1 Score': 9, 'Team 2 Score': 13}, {'Map': 'Ascent', 'Team 1 Score': 6, 'Team 2 Score': 13}]","[4, 4, 3]","[8, 5, 3]","[4, None, None]","[8, 8, 9]","[4, 5, 4]","[2, None, None]","[None, None, None]"
Champions Tour 2024: China Stage 2,JDG Esports,FunPlus Phoenix,2024-06-26 07:00:00,Bo3,"[{'Team': 'JDG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'JDG', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'FPX', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'JDG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]","[{'Map': 'Sunset', 'Team 1 Score': 8, 'Team 2 Score': 13}, {'Map': 'Haven', 'Team 1 Score': 12, 'Team 2 Score': 14}]","[4, 5]","[4, 7]","[None, 0]","[5, 7]","[8, 5]","[None, 2]","[None, None]"
Champions Tour 2024: China Stage 2,EDward Gaming,Dragon Ranger Gaming,2024-06-27 07:00:00,Bo3,"[{'Team': 'EDG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'DRG', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'DRG', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'DRG', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]","[{'Map': 'Lotus', 'Team 1 Score': 11, 'Team 2 Score': 13}, {'Map': 'Haven', 'Team 1 Score': 5, 'Team 2 Score': 13}]","[4, 3]","[7, 2]","[None, None]","[8, 9]","[5, 4]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,Nova Esports,Wolves Esports,2024-06-28 05:00:00,Bo3,"[{'Team': 'WOL', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'NOVA', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'WOL', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'NOVA', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'WOL', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'NOVA', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]","[{'Map': 'Icebox', 'Team 1 Score': 14, 'Team 2 Score': 12}, {'Map': 'Sunset', 'Team 1 Score': 15, 'Team 2 Score': 13}]","[10, 4]","[2, 8]","[2, 3]","[2, 8]","[10, 4]","[0, 1]","[None, None]"
Champions Tour 2024: China Stage 2,JDG Esports,Trace Esports,2024-06-28 07:35:00,Bo3,"[{'Team': 'JDG', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'TE', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'JDG', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'TE', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'JDG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'TE', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Haven'}]","[{'Map': 'Bind', 'Team 1 Score': 13, 'Team 2 Score': 2}, {'Map': 'Sunset', 'Team 1 Score': 8, 'Team 2 Score': 13}, {'Map': 'Haven', 'Team 1 Score': 13, 'Team 2 Score': 6}]","[3, 5, 6]","[10, 3, 7]","[None, None, None]","[0, 4, 1]","[2, 9, 5]","[None, None, None]","[None, None, None]"
Champions Tour 2024: China Stage 2,Titan Esports Club,TYLOO,2024-06-29 05:00:00,Bo3,"[{'Team': 'TEC', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'TYL', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'TEC', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'TYL', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'TEC', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'TYL', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]","[{'Map': 'Bind', 'Team 1 Score': 11, 'Team 2 Score': 13}, {'Map': 'Ascent', 'Team 1 Score': 13, 'Team 2 Score': 9}, {'Map': 'Icebox', 'Team 1 Score': 9, 'Team 2 Score': 13}]","[2, 6, 6]","[9, 7, 3]","[None, None, None]","[10, 6, 6]","[3, 3, 7]","[None, None, None]","[None, None, None]"
Champions Tour 2024: China Stage 2,All Gamers,FunPlus Phoenix,2024-06-29 08:30:00,Bo3,"[{'Team': 'AG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'AG', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'FPX', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'AG', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]","[{'Map': 'Sunset', 'Team 1 Score': 11, 'Team 2 Score': 13}, {'Map': 'Haven', 'Team 1 Score': 13, 'Team 2 Score': 8}, {'Map': 'Ascent', 'Team 1 Score': 7, 'Team 2 Score': 13}]","[5, 6, 2]","[6, 7, 5]","[None, None, None]","[7, 6, 6]","[6, 2, 7]","[None, None, None]","[None, None, None]"
Champions Tour 2024: China Stage 2,Bilibili Gaming,Dragon Ranger Gaming,2024-06-30 05:00:00,Bo3,"[{'Team': 'BLG', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'DRG', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'BLG', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'DRG', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'BLG', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'DRG', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]","[{'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 11}, {'Map': 'Ascent', 'Team 1 Score': 13, 'Team 2 Score': 11}]","[7, 5]","[6, 8]","[None, None]","[5, 7]","[6, 4]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,EDward Gaming,Nova Esports,2024-06-30 07:20:00,Bo3,"[{'Team': 'NOVA', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'NOVA', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'NOVA', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]","[{'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 9}, {'Map': 'Bind', 'Team 1 Score': 13, 'Team 2 Score': 6}]","[6, 8]","[7, 5]","[None, None]","[4, 4]","[5, 2]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,All Gamers,Trace Esports,2024-07-03 07:00:00,Bo3,"[{'Team': 'AG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'TE', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'AG', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'TE', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'AG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'TE', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]","[{'Map': 'Haven', 'Team 1 Score': 6, 'Team 2 Score': 13}, {'Map': 'Sunset', 'Team 1 Score': 4, 'Team 2 Score': 13}]","[4, 3]","[2, 1]","[None, None]","[3, 9]","[10, 4]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,Titan Esports Club,FunPlus Phoenix,2024-07-04 07:00:00,Bo3,"[{'Team': 'FPX', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'TEC', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'FPX', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'TEC', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'TEC', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]","[{'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 9}, {'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 6}]","[6, 5]","[7, 8]","[None, None]","[6, 2]","[3, 4]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,TYLOO,JDG Esports,2024-07-05 05:00:00,Bo3,"[{'Team': 'JDG', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'TYL', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'JDG', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'TYL', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'JDG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'TYL', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]","[{'Map': 'Haven', 'Team 1 Score': 1, 'Team 2 Score': 13}, {'Map': 'Icebox', 'Team 1 Score': 9, 'Team 2 Score': 13}]","[1, 7]","[0, 2]","[None, None]","[11, 5]","[2, 8]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,Dragon Ranger Gaming,Wolves Esports,2024-07-05 07:00:00,Bo3,"[{'Team': 'WOL', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'DRG', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'WOL', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'DRG', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'WOL', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'DRG', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Haven'}]","[{'Map': 'Icebox', 'Team 1 Score': 7, 'Team 2 Score': 13}, {'Map': 'Ascent', 'Team 1 Score': 6, 'Team 2 Score': 13}]","[2, 4]","[5, 2]","[None, None]","[6, 8]","[7, 5]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,Trace Esports,Titan Esports Club,2024-07-06 05:00:00,Bo3,"[{'Team': 'TE', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'TEC', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'TE', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'TEC', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'TE', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'TEC', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Haven'}]","[{'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 11}, {'Map': 'Bind', 'Team 1 Score': 8, 'Team 2 Score': 13}, {'Map': 'Haven', 'Team 1 Score': 13, 'Team 2 Score': 10}]","[6, 4, 7]","[7, 4, 6]","[None, None, None]","[6, 5, 5]","[5, 8, 5]","[None, None, None]","[None, None, None]"
Champions Tour 2024: China Stage 2,EDward Gaming,Bilibili Gaming,2024-07-06 08:20:00,Bo3,"[{'Team': 'BLG', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'BLG', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'BLG', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]","[{'Map': 'Icebox', 'Team 1 Score': 13, 'Team 2 Score': 11}, {'Map': 'Haven', 'Team 1 Score': 13, 'Team 2 Score': 8}]","[7, 5]","[6, 8]","[None, None]","[5, 4]","[6, 4]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,JDG Esports,All Gamers,2024-07-07 05:00:00,Bo3,"[{'Team': 'JDG', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'AG', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'JDG', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'AG', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'JDG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'AG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]","[{'Map': 'Haven', 'Team 1 Score': 13, 'Team 2 Score': 8}, {'Map': 'Icebox', 'Team 1 Score': 13, 'Team 2 Score': 3}]","[7, 3]","[6, 10]","[None, None]","[5, 1]","[3, 2]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,TYLOO,FunPlus Phoenix,2024-07-07 07:00:00,Bo3,"[{'Team': 'TYL', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'TYL', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'FPX', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'TYL', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]","[{'Map': 'Icebox', 'Team 1 Score': 5, 'Team 2 Score': 13}, {'Map': 'Haven', 'Team 1 Score': 14, 'Team 2 Score': 12}, {'Map': 'Ascent', 'Team 1 Score': 13, 'Team 2 Score': 4}]","[1, 6, 4]","[4, 6, 9]","[None, 2, None]","[5, 6, 1]","[8, 6, 3]","[None, 0, None]","[None, None, None]"
Champions Tour 2024: China Stage 2,Trace Esports,All Gamers,2024-07-16 04:00:00,Bo3,"[{'Team': 'AG', 'Action': 'ban', 'Map': 'Abyss'}, {'Team': 'TE', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'AG', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'TE', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'AG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'TE', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Haven'}]","[{'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 7}, {'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 10}]","[9, 8]","[4, 5]","[None, None]","[3, 3]","[4, 7]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,JDG Esports,Bilibili Gaming,2024-07-16 06:25:00,Bo3,"[{'Team': 'BLG', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'JDG', 'Action': 'ban', 'Map': 'Abyss'}, {'Team': 'BLG', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'JDG', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'BLG', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'JDG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]","[{'Map': 'Sunset', 'Team 1 Score': 9, 'Team 2 Score': 13}, {'Map': 'Icebox', 'Team 1 Score': 7, 'Team 2 Score': 13}]","[4, 2]","[5, 5]","[None, None]","[6, 6]","[7, 7]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,FunPlus Phoenix,Trace Esports,2024-07-17 04:00:00,Bo3,"[{'Team': 'TE', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'TE', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'FPX', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'TE', 'Action': 'ban', 'Map': 'Abyss'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]","[{'Map': 'Ascent', 'Team 1 Score': 3, 'Team 2 Score': 13}, {'Map': 'Haven', 'Team 1 Score': 11, 'Team 2 Score': 13}]","[3, 8]","[0, 3]","[None, None]","[9, 4]","[4, 9]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,EDward Gaming,Bilibili Gaming,2024-07-17 06:10:00,Bo3,"[{'Team': 'BLG', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'BLG', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'BLG', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Abyss'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]","[{'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 5}, {'Map': 'Bind', 'Team 1 Score': 7, 'Team 2 Score': 13}, {'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 10}]","[7, 4, 9]","[6, 3, 4]","[None, None, None]","[5, 8, 3]","[0, 5, 7]","[None, None, None]","[None, None, None]"
Champions Tour 2024: China Stage 2,Trace Esports,EDward Gaming,2024-07-18 04:00:00,Bo3,"[{'Team': 'TE', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'TE', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Abyss'}, {'Team': 'TE', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]","[{'Map': 'Sunset', 'Team 1 Score': 2, 'Team 2 Score': 13}, {'Map': 'Abyss', 'Team 1 Score': 5, 'Team 2 Score': 13}]","[0, 5]","[2, 0]","[None, None]","[3, 7]","[10, 6]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,FunPlus Phoenix,Bilibili Gaming,2024-07-18 05:50:00,Bo3,"[{'Team': 'BLG', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'BLG', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'FPX', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'BLG', 'Action': 'ban', 'Map': 'Abyss'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]","[{'Map': 'Ascent', 'Team 1 Score': 13, 'Team 2 Score': 3}, {'Map': 'Icebox', 'Team 1 Score': 12, 'Team 2 Score': 14}, {'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 10}]","[4, 7, 7]","[9, 5, 6]","[None, 0, None]","[0, 5, 4]","[3, 7, 6]","[None, 2, None]","[None, None, None]"
