Match ID,Event,Team 1,Team 2,Date,Match Format,Maps Picked/Banned,Total Maps Played,Winner
161,Champions Tour 2024: China Stage 1,Trace Esports,All Gamers,2024-05-08 05:00:00,Bo3,"[{'Team': 'TE', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'AG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'TE', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'AG', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'TE', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'AG', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]",2,Trace Esports
162,Champions Tour 2024: China Stage 1,Dragon Ranger Gaming,Nova Esports,2024-05-08 07:15:00,Bo3,"[{'Team': 'NOVA', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'DRG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'NOVA', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'DRG', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'NOVA', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'DRG', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]",2,Dragon Ranger Gaming
163,Champions Tour 2024: China Stage 1,FunPlus Phoenix,Trace Esports,2024-05-09 05:00:00,Bo3,"[{'Team': 'TE', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'TE', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'FPX', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'TE', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]",2,FunPlus Phoenix
164,Champions Tour 2024: China Stage 1,EDward Gaming,Dragon Ranger Gaming,2024-05-09 07:30:00,Bo3,"[{'Team': 'DRG', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'DRG', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'DRG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]",2,EDward Gaming
165,Champions Tour 2024: China Stage 1,FunPlus Phoenix,EDward Gaming,2024-05-10 05:00:00,Bo3,"[{'Team': 'FPX', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'FPX', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]",2,FunPlus Phoenix
166,Champions Tour 2024: China Stage 1,Trace Esports,Dragon Ranger Gaming,2024-05-10 07:45:00,Bo3,"[{'Team': 'TE', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'DRG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'TE', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'DRG', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'TE', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'DRG', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]",3,Dragon Ranger Gaming
167,Champions Tour 2024: China Stage 1,EDward Gaming,Dragon Ranger Gaming,2024-05-11 05:00:00,Bo5,"[{'Team': 'EDG', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'DRG', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'DRG', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'DRG', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]",4,EDward Gaming
168,Champions Tour 2024: China Stage 1,FunPlus Phoenix,EDward Gaming,2024-05-12 05:00:00,Bo5,"[{'Team': 'FPX', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'FPX', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'FPX', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]",4,EDward Gaming
169,Champions Tour 2024: Pacific Stage 1,Global Esports,ZETA DIVISION,2024-04-06 04:00:00,Bo3,"[{'Team': 'ZETA', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'GE', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'ZETA', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'GE', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'ZETA', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'GE', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]",3,ZETA DIVISION
170,Champions Tour 2024: Pacific Stage 1,Team Secret,DRX,2024-04-06 07:00:00,Bo3,"[{'Team': 'TS', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'TS', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'DRX', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'TS', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Breeze'}]",2,DRX
